# Radius () 	 Magnitude Contrast 	 Error
 0.092 	  1.212 	  0.000 
 0.184 	  2.121 	  0.166 
 0.276 	  2.828 	  0.462 
 0.368 	  3.030 	  0.497 
 0.460 	  3.283 	  0.515 
 0.552 	  3.434 	  0.393 
 0.644 	  3.535 	  0.482 
 0.736 	  3.737 	  0.418 
 0.828 	  3.838 	  0.400 
 0.920 	  3.838 	  0.384 
 1.012 	  3.838 	  0.418 
 1.104 	  3.939 	  0.409 
 1.196 	  4.040 	  0.387 
 1.288 	  3.939 	  0.301 
 1.380 	  3.990 	  0.319 
 1.472 	  4.040 	  0.316 
 1.564 	  4.141 	  0.297 
 1.656 	  4.242 	  0.297 
 1.748 	  4.343 	  0.383 
 1.840 	  4.242 	  0.346 
 1.932 	  4.293 	  0.354 
 2.024 	  4.343 	  0.285 
 2.116 	  4.242 	  0.210 
 2.208 	  4.394 	  0.284 
 2.300 	  4.343 	  0.293 
 2.392 	  4.343 	  0.270 
 2.484 	  4.343 	  0.337 
 2.576 	  4.343 	  0.340 
 2.668 	  4.444 	  0.293 
 2.760 	  4.343 	  0.259 
 2.852 	  4.343 	  0.258 
 2.944 	  4.444 	  0.275 
 3.036 	  4.444 	  0.259 
 3.128 	  4.444 	  0.275 
 3.220 	  4.444 	  0.304 
 3.312 	  4.444 	  0.289 
 3.404 	  4.343 	  0.248 
 3.496 	  4.444 	  0.272 
 3.588 	  4.343 	  0.281 
 3.680 	  4.343 	  0.310 
 3.772 	  4.394 	  0.264 
 3.864 	  4.242 	  0.292 
 3.956 	  4.343 	  0.279 
 4.048 	  4.394 	  0.242 
 4.140 	  4.394 	  0.273 
 4.232 	  4.343 	  0.238 
 4.324 	  4.242 	  0.286 
 4.416 	  4.242 	  0.262 
 4.508 	  4.242 	  0.291 
 4.600 	  4.343 	  0.251 
 4.692 	  4.343 	  0.255 
 4.784 	  4.343 	  0.238 
 4.876 	  4.394 	  0.289 
 4.968 	  4.444 	  0.323 
 5.060 	  4.444 	  0.281 
 5.152 	  4.242 	  0.265 
 5.244 	  4.343 	  0.251 
 5.336 	  4.394 	  0.225 
 5.428 	  4.343 	  0.232 
 5.520 	  4.343 	  0.230 
 5.612 	  4.343 	  0.176 
 5.704 	  4.343 	  0.164 
 5.796 	  4.343 	  0.232 
 5.888 	  4.343 	  0.262 
 5.980 	  4.242 	  0.226 
 6.072 	  4.343 	  0.199 
 6.164 	  4.242 	  0.238 
 6.256 	  4.293 	  0.274 
 6.348 	  4.343 	  0.300 
 6.440 	  4.293 	  0.210 
 6.532 	  4.343 	  0.322 
 6.624 	  4.444 	  0.223 
 6.716 	  4.343 	  0.224 
 6.808 	  4.394 	  0.322 
 6.900 	  4.293 	  0.298 
 6.992 	  4.343 	  0.281 
 7.084 	  4.242 	  0.248 
 7.176 	  4.343 	  0.272 
 7.268 	  4.343 	  0.184 
 7.360 	  4.343 	  0.229 
 7.452 	  4.343 	  0.240 
 7.544 	  4.293 	  0.249 
 7.636 	  4.293 	  0.257 
 7.728 	  4.242 	  0.167 
 7.820 	  4.242 	  0.257 
 7.912 	  4.343 	  0.313 
 8.004 	  4.343 	  0.280 
 8.096 	  4.242 	  0.209 
 8.188 	  4.343 	  0.248 
 8.280 	  4.343 	  0.281 
 8.372 	  4.343 	  0.206 
 8.464 	  4.394 	  0.218 
 8.556 	  4.242 	  0.218 
 8.648 	  4.293 	  0.264 
 8.740 	  4.242 	  0.238 
 8.832 	  4.394 	  0.233 
 8.924 	  4.444 	  0.258 
 9.016 	  4.343 	  0.289 
 9.108 	  4.293 	  0.288 
 9.200 	  4.242 	  0.295 
 9.292 	  4.293 	  0.301 
 9.384 	  4.293 	  0.293 
 9.476 	  4.394 	  0.241 
 9.568 	  4.343 	  0.297 
 9.660 	  4.242 	  0.275 
 9.752 	  4.293 	  0.205 
 9.844 	  4.343 	  0.217 
 9.936 	  4.343 	  0.217 
 10.028 	  4.343 	  0.244 
 10.120 	  4.343 	  0.235 
 10.212 	  4.343 	  0.165 
 10.304 	  4.343 	  0.250 
 10.396 	  4.343 	  0.271 
 10.488 	  4.293 	  0.309 
 10.580 	  4.394 	  0.354 
